Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-24T01:14:19.499078', 'src_ip': '40.74.250.23', 'payload_printable': '"GET / HTTP/1.0" 200 -'}
{'timestamp': '2024-11-24T01:14:19.710118', 'src_ip': '40.74.250.23', 'payload_printable': '"OPTIONS / HTTP/1.0" - -'}
{'timestamp': '2024-11-24T01:14:19.921805', 'src_ip': '40.74.250.23', 'payload_printable': '"GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 -'}
Stopping server.
Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-24T21:25:09.920957', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /+CSCOE+/blank.html HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T21:25:12.925318', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:25:13.088805', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /+CSCOE+/win.js HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T21:25:16.092276', 'src_ip': '118.194.238.196', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T21:25:22.554379', 'src_ip': '118.194.238.196', 'payload_printable': '"GET /config.json HTTP/1.1" 404 -'}
Stopping server.
Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-25T06:47:47.801113', 'src_ip': '199.45.154.143', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-25T06:47:58.392759', 'src_ip': '199.45.154.143', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-25T07:34:11.382039', 'src_ip': '167.94.145.101', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-25T07:34:21.849026', 'src_ip': '167.94.145.101', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-25T08:17:12.776616', 'src_ip': '92.255.57.58', 'payload_printable': '"GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 404 -'}
{'timestamp': '2024-11-25T08:38:06.170079', 'src_ip': '92.255.57.58', 'payload_printable': '"GET /actuator/gateway/routes HTTP/1.1" 404 -'}
{'timestamp': '2024-11-25T09:32:19.510022', 'src_ip': '134.209.105.166', 'payload_printable': '"GET / HTTP/1.1" 200 -'}
{'timestamp': '2024-11-25T09:32:20.005343', 'src_ip': '134.209.105.166', 'payload_printable': '"GET /favicon.ico HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.743864', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.889127', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.890425', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.890985', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.891192', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.891525', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.891910', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.892149', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.892346', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.894601', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.894790', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.894959', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.895149', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.895379', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.895622', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.895854', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.896058', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.896285', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.898707', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.899020', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.899246', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.899456', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.951067', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.953516', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.953851', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.954132', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.954590', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.954882', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.955154', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.955447', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.955737', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.956023', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.956319', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.958647', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
